 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2018
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110002 ARIQUEMES";-;-;-;1;-;-;-;-;-;-;-;-;1
"110005 CEREJEIRAS";-;-;1;-;1;-;-;-;-;-;-;-;2
"110011 JARU";-;3;-;-;-;1;3;-;5;1;1;2;16
"110015 OURO PRETO DO OESTE";1;-;1;2;4;2;2;-;2;3;-;2;19
"110020 PORTO VELHO";-;2;2;2;2;-;2;-;1;-;-;-;11
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;1;1;2;1;1;1;7
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;2;-;-;-;-;-;-;2
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;-;1;-;-;1;-;-;2
"110130 MIRANTE DA SERRA";-;1;-;-;-;1;-;-;-;-;-;-;2
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;-;-;-;-;-;1;-;1
"110170 URUPA";1;-;-;-;-;-;-;-;-;-;-;2;3
"140010 BOA VISTA";-;-;-;-;1;-;-;-;-;-;-;1;2
"140047 RORAINOPOLIS";-;-;-;-;-;-;-;1;-;-;-;-;1
"150080 ANANINDEUA";-;1;-;-;-;-;-;1;-;-;-;-;2
"150170 BRAGANCA";-;1;-;-;-;-;-;-;-;-;-;1;2
"150506 NOVO REPARTIMENTO";-;1;-;-;-;-;-;-;1;-;-;-;2
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;-;1;-;-;-;1
"150812 ULIANOPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;1
"160030 MACAPA";-;-;-;-;1;-;-;-;-;-;-;-;1
"160060 SANTANA";-;-;1;-;-;-;-;-;-;-;-;-;1
"170210 ARAGUAINA";-;1;-;-;-;-;-;-;-;-;-;-;1
"171610 PARAISO DO TOCANTINS";-;-;-;-;-;-;-;1;-;-;-;-;1
"172100 PALMAS";1;-;-;-;-;-;1;-;-;-;-;-;2
"210070 ANAJATUBA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210160 BARRA DO CORDA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210190 BEQUIMAO";3;4;7;-;-;-;-;-;-;-;-;-;14
"210420 FORTUNA";1;-;-;-;-;-;-;-;-;-;-;-;1
"210620 LUIS DOMINGUES";-;-;-;-;-;-;-;-;1;-;-;-;1
"210860 PINHEIRO";-;-;-;-;2;-;1;-;24;1;2;-;30
"211100 SAO JOAO BATISTA";-;-;-;1;-;-;-;-;1;-;1;-;3
