LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 Cacoal";-;-;-;1;1;-;-;-;-;-;-;-;2
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;1;-;-;-;-;-;1
"110011 Jaru";-;1;-;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";-;-;1;-;-;-;-;-;-;-;-;-;1
"110013 Machadinho D'Oeste";-;-;1;-;1;-;-;-;-;-;-;-;2
"110140 Monte Negro";-;-;-;-;-;1;-;-;-;-;-;-;1
"110020 Porto Velho";-;-;1;-;-;-;-;1;-;-;1;-;3
"120013 Bujari";-;-;-;-;1;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";5;2;8;6;5;7;5;5;4;1;8;17;73
"120030 Feijó";1;1;-;-;-;-;-;-;-;1;-;-;3
"120033 Mâncio Lima";-;-;-;-;1;-;-;1;-;-;-;-;2
"120035 Marechal Thaumaturgo";-;-;1;-;-;-;-;-;-;-;-;-;1
"120040 Rio Branco";7;7;7;2;8;1;7;4;3;1;1;3;51
"120042 Rodrigues Alves";-;-;-;-;1;-;-;-;-;-;-;-;1
"120050 Sena Madureira";-;-;-;-;-;-;-;-;1;-;-;-;1
"120060 Tarauacá";-;-;1;1;-;-;-;-;-;-;-;-;2
"120070 Xapuri";-;-;1;-;-;-;-;-;-;-;1;-;2
"130130 Codajás";-;-;-;-;1;-;-;-;-;-;-;-;1
"130260 Manaus";1;5;2;3;3;4;2;1;2;3;3;5;34
"140010 Boa Vista";-;-;-;-;-;-;-;-;3;-;-;-;3
"140030 Mucajaí";-;-;-;-;-;-;1;-;-;-;-;-;1
"150010 Abaetetuba";-;1;-;1;-;1;-;-;-;-;-;-;3
"150080 Ananindeua";-;1;-;-;-;-;-;-;-;-;-;-;1
"150140 Belém";1;3;5;2;5;8;5;4;2;-;2;2;39
"150180 Breves";-;1;1;1;-;-;-;-;-;-;-;-;3
"150215 Canaã dos Carajás";-;1;-;-;-;-;-;-;-;-;-;-;1
"150240 Castanhal";1;-;1;1;1;-;-;-;-;-;-;-;4
"150330 Igarapé-Miri";-;-;-;-;-;-;1;-;-;-;-;-;1
"150360 Itaituba";-;-;-;-;-;1;-;-;-;-;-;-;1
"150442 Marituba";-;-;-;1;-;-;-;-;-;-;-;1;2
"150510 Óbidos";-;-;-;-;-;1;-;-;-;-;-;-;1
"150680 Santarém";-;-;-;-;-;-;-;-;1;-;-;-;1
"150795 Tailândia";-;-;-;-;-;-;-;-;-;1;-;-;1
"150820 Vigia";-;-;-;1;-;-;-;-;-;-;-;-;1
"160030 Macapá";2;-;4;4;2;6;1;3;2;6;-;3;33
"160050 Oiapoque";1;-;-;-;-;-;-;-;-;-;-;-;1
