"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110060 Cacaulândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"110070 Campo Novo de Rondônia";1;-;-;-;-;-;-;-;-;-;-;-;1
"110080 Candeias do Jamari";-;-;1;-;-;-;-;-;-;-;-;-;1
"110092 Chupinguaia";-;-;1;-;-;-;-;-;-;-;-;-;1
"110094 Cujubim";-;1;-;-;-;-;-;-;-;-;-;-;1
"110011 Jaru";-;-;1;1;-;-;-;-;-;-;-;-;2
"110013 Machadinho D'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"110018 Pimenta Bueno";1;-;-;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";-;-;2;1;-;-;-;-;-;-;-;1;4
"110025 Presidente Médici";-;-;-;-;-;-;-;-;-;-;-;1;1
"120010 Brasiléia";-;-;1;-;-;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";3;4;8;-;-;-;-;-;-;-;-;-;15
"120030 Feijó";1;1;-;-;-;-;-;-;-;-;-;-;2
"120033 Mâncio Lima";-;-;1;1;-;1;-;-;-;-;-;-;3
"120035 Marechal Thaumaturgo";-;-;-;1;-;-;-;-;-;-;-;-;1
"120038 Plácido de Castro";-;-;-;-;-;-;-;-;-;-;-;1;1
"120039 Porto Walter";1;-;-;-;-;-;-;-;-;-;-;-;1
"120040 Rio Branco";5;1;5;1;1;-;-;-;-;-;-;1;14
"120042 Rodrigues Alves";1;-;-;-;-;-;-;-;-;-;-;-;1
"120060 Tarauacá";-;-;-;1;-;-;-;-;-;-;-;-;1
"120070 Xapuri";1;-;-;-;-;-;-;-;-;-;-;-;1
"130010 Anori";1;1;-;-;-;-;-;-;-;-;-;-;2
"130180 Ipixuna";-;-;-;-;1;-;-;-;-;-;-;-;1
"130240 Lábrea";-;-;-;1;-;-;-;-;-;-;-;-;1
"130250 Manacapuru";-;-;-;-;1;-;-;-;-;-;-;-;1
"130260 Manaus";3;2;2;8;3;-;-;-;-;-;-;1;19
"130340 Parintins";-;1;-;-;-;-;-;-;-;-;-;-;1
"130420 Tefé";-;1;-;-;-;-;-;-;-;-;-;-;1
"140002 Amajari";-;-;-;1;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";1;1;-;1;-;-;-;-;-;-;-;-;3
"150120 Baião";-;-;-;-;1;-;-;-;-;-;-;-;1
"150140 Belém";4;2;2;7;2;-;-;-;-;-;-;-;17
"150180 Breves";1;-;-;-;-;-;-;-;-;-;-;-;1
"150210 Cametá";1;-;-;4;1;-;-;-;-;-;-;-;6
